Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.62,1.00,14.85,0.00,14.85,1.00,0.00
2.0,0.78,4.00,120.15,0.00,120.15,1.27,0.00
3.0,0.62,4.00,194.85,0.00,194.85,1.00,0.00
4.0,1.87,11.00,174.32,0.00,174.32,3.04,0.00
5.0,4.18,18.00,505.37,61.00,566.37,4.25,4.07
6.0,0.72,18.00,0.00,77.75,77.75,0.00,1.86
7.0,2.36,27.00,202.80,2.20,205.00,3.56,0.44
8.0,3.38,31.00,518.10,94.00,612.10,3.90,2.54
9.0,2.05,38.00,99.87,0.00,99.87,3.33,0.00
10.0,2.96,47.00,486.27,1.10,487.37,4.54,0.44
11.0,4.10,16.00,843.77,98.64,942.41,4.89,2.84
12.0,2.28,31.00,89.54,0.00,89.54,3.71,0.00
13.0,4.23,34.00,674.32,0.00,674.32,6.88,0.00
14.0,1.87,36.00,653.85,0.00,653.85,3.04,0.00
15.0,4.72,43.00,1400.75,0.00,1400.75,7.68,0.00
16.0,2.55,12.00,316.65,64.20,380.85,2.51,2.60
17.0,1.85,21.00,165.45,65.00,230.45,0.90,3.36
18.0,4.09,30.00,473.55,1.00,474.55,6.03,1.00
19.0,2.11,33.00,232.80,88.70,321.50,2.53,1.44
20.0,3.50,46.00,466.74,0.00,466.74,5.69,0.00
21.0,3.51,17.00,397.55,7.05,404.60,4.70,1.60
22.0,3.18,32.00,58.10,121.63,179.73,1.62,5.68
23.0,1.55,41.00,335.35,0.00,335.35,2.51,0.00
24.0,2.35,45.00,645.70,0.00,645.70,3.83,0.00
25.0,1.81,47.00,608.45,0.00,608.45,2.94,0.00
26.0,3.52,10.00,931.49,0.00,931.49,5.73,0.00
27.0,0.94,16.00,0.00,61.92,61.92,0.00,2.44
28.0,1.38,22.00,116.15,0.00,116.15,2.25,0.00
29.0,1.92,29.00,351.80,20.95,372.75,2.84,0.44
30.0,5.37,37.00,427.26,0.00,427.26,5.96,4.41
31.0,7.66,26.00,1242.91,0.00,1242.91,12.44,0.00
32.0,3.18,36.00,280.30,96.77,377.07,2.04,5.00
33.0,3.32,42.00,118.50,425.27,543.77,1.49,6.26
34.0,0.92,43.00,268.50,0.00,268.50,1.49,0.00
35.0,1.71,47.00,306.90,0.00,306.90,2.77,0.00
36.0,2.68,13.00,624.85,0.00,624.85,4.35,0.00
37.0,2.51,17.00,578.15,0.00,578.15,4.08,0.00
38.0,2.69,25.00,85.50,7.75,93.25,1.86,4.00
39.0,3.49,35.00,415.58,0.00,415.58,5.68,0.00
40.0,6.72,46.00,974.82,6.45,981.27,9.93,1.60
41.0,7.66,21.00,1064.30,125.90,1190.20,9.04,5.46
42.0,1.86,24.00,366.20,0.00,366.20,3.03,0.00
43.0,2.58,35.00,28.20,119.60,147.80,1.62,4.10
44.0,3.12,47.00,467.19,0.00,467.19,5.06,0.00
45.0,3.05,53.00,896.69,4.70,901.39,4.69,0.44
46.0,5.26,13.00,1225.99,230.15,1456.14,5.88,4.28
47.0,4.19,18.00,1910.99,0.00,1910.99,6.81,0.00
48.0,0.94,22.00,23.85,14.20,38.05,0.28,2.00
49.0,1.55,24.00,140.85,134.20,275.05,1.27,2.00
50.0,1.33,28.00,369.60,0.00,369.60,2.16,0.00
51.0,0.55,5.00,258.75,0.00,258.75,0.89,0.00
52.0,1.09,7.00,464.50,0.00,464.50,1.77,0.00
53.0,1.32,16.00,215.35,7.40,222.75,1.51,1.00
54.0,3.24,25.00,224.34,77.30,301.64,4.01,2.00
55.0,3.85,31.00,604.09,0.00,604.09,6.26,0.00
56.0,4.57,16.00,583.89,30.00,613.89,6.43,1.60
57.0,5.01,21.00,457.43,64.99,522.42,5.43,4.34
58.0,2.03,29.00,441.71,0.00,441.71,3.30,0.00
59.0,0.38,31.00,56.20,0.00,56.20,0.62,0.00
60.0,1.89,34.00,210.80,0.00,210.80,3.08,0.00
61.0,2.06,5.00,540.80,20.85,561.65,3.08,0.44
62.0,2.06,10.00,531.10,69.05,600.15,2.45,1.44
63.0,0.00,10.00,0.00,0.00,0.00,0.00,0.00
64.0,0.55,12.00,0.00,85.75,85.75,0.00,1.42
65.0,0.55,12.00,0.00,235.75,235.75,0.00,1.42
66.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00
