Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,1.00,4.00,28.45,0.00,28.45,1.62,0.00
2.0,3.92,19.00,306.43,1.50,307.93,6.09,0.44
3.0,6.92,30.00,831.85,97.90,929.75,8.39,4.58
4.0,11.65,57.00,1242.05,47.30,1289.35,18.93,0.00
5.0,14.55,69.00,3013.25,50.80,3064.05,20.83,4.50
6.0,1.94,45.00,0.00,95.60,95.60,0.00,5.04
7.0,2.35,67.00,200.01,97.94,297.95,3.81,0.00
8.0,5.05,74.00,654.51,204.99,859.50,5.13,4.94
9.0,3.43,93.00,244.08,58.25,302.33,4.58,1.60
10.0,8.19,124.00,1001.38,10.65,1012.03,12.30,1.60
11.0,9.39,36.00,1019.64,347.13,1366.77,8.98,10.04
12.0,3.38,64.00,436.90,102.50,539.40,5.50,0.00
13.0,11.78,75.00,1429.30,204.76,1634.06,13.38,9.23
14.0,8.18,94.00,1191.00,296.41,1487.41,9.20,6.55
15.0,14.20,123.00,2794.10,507.60,3301.70,22.08,1.60
16.0,14.30,38.00,1322.71,202.85,1525.56,18.53,7.52
17.0,10.08,72.00,69.59,218.45,288.04,2.25,22.61
18.0,5.99,100.00,618.15,42.65,660.80,8.15,2.54
19.0,9.66,115.00,1347.84,399.35,1747.19,10.44,8.42
20.0,11.54,145.00,2475.37,180.15,2655.52,18.48,0.44
21.0,10.00,39.00,1074.63,54.40,1129.03,14.69,2.48
22.0,11.39,75.00,176.36,348.09,524.45,6.30,19.53
23.0,7.82,100.00,1183.04,61.90,1244.94,12.70,0.00
24.0,12.31,117.00,2248.89,31.70,2280.59,17.43,4.13
25.0,8.87,128.00,1972.00,215.15,2187.15,12.79,2.60
26.0,12.46,36.00,3399.36,7.35,3406.71,19.98,0.44
27.0,3.20,53.00,72.90,165.72,238.62,2.82,3.80
28.0,5.59,75.00,621.39,32.90,654.29,9.08,0.00
29.0,13.00,96.00,2029.61,65.70,2095.31,20.13,1.60
30.0,12.93,112.00,2283.79,193.55,2477.34,16.90,6.58
31.0,17.03,49.00,4639.18,625.85,5265.03,26.68,1.60
32.0,10.68,80.00,1485.62,176.31,1661.93,13.54,6.10
33.0,10.82,104.00,502.98,446.08,949.06,4.60,20.78
34.0,5.72,115.00,1303.42,105.80,1409.22,8.29,1.60
35.0,11.10,136.00,1744.09,197.40,1941.49,13.21,7.71
36.0,9.48,42.00,3271.92,176.80,3448.72,15.13,0.44
37.0,4.58,54.00,728.49,80.00,808.49,4.96,3.97
38.0,10.01,80.00,236.94,538.20,775.14,7.24,14.44
39.0,9.25,108.00,1176.10,113.50,1289.60,15.03,0.00
40.0,11.89,122.00,2020.87,77.90,2098.77,17.42,3.04
41.0,11.35,45.00,1555.57,230.00,1785.57,14.11,6.93
42.0,9.15,55.00,1067.00,365.00,1432.00,12.68,3.52
43.0,10.41,81.00,200.52,493.59,694.11,7.44,15.16
44.0,9.86,104.00,1214.92,322.42,1537.34,14.53,2.40
